H Team,A Team,FTHG,FTAG,HTGS,ATGS,HTFormPts,ATFormPts,FTR
1,0,0,2,55,88,12,12,A
0,1,3,2,0,0,0,0,H
1,0,2,2,0,3,0,3,A
0,1,3,1,5,1,4,1,H
1,0,1,1,3,8,3,7,A
0,1,1,1,9,8,8,8,A
1,0,1,2,12,10,9,9,A
0,1,3,0,12,5,9,6,H
1,0,1,2,11,15,10,11,A
0,1,1,0,17,14,11,4,H
1,0,0,0,13,18,7,13,A
0,1,2,1,18,17,13,9,H
0,1,5,0,20,10,13,4,H
1,0,0,0,24,25,5,13,A
1,0,0,2,15,25,9,11,A
0,1,1,1,27,24,11,6,A
0,1,2,3,28,37,11,12,A
1,0,1,3,18,30,3,8,A
0,1,1,0,33,21,8,0,H
1,0,1,0,19,34,6,10,H
1,0,3,4,20,34,9,7,A
0,1,3,0,34,18,7,9,H
1,0,0,2,40,41,10,12,A
0,1,2,0,43,33,12,5,H
1,0,0,0,18,45,5,12,A
0,1,2,2,45,42,13,10,A
1,0,3,1,33,47,6,11,H
0,1,2,0,48,55,8,8,H
1,0,0,1,26,50,5,8,A
1,0,2,0,44,51,7,8,H
0,1,4,0,51,40,7,9,H
0,0,1,2,71,57,12,12,A
0,1,1,0,58,37,12,7,H
1,0,3,1,58,59,7,9,H
0,1,2,1,59,38,9,6,H
1,0,0,0,43,61,3,10,A
0,1,1,0,61,48,10,4,H
0,1,2,3,64,38,10,6,A
0,1,4,0,0,0,0,0,H
1,0,3,2,0,4,0,3,H
0,1,2,0,6,1,3,3,H
1,0,0,0,3,8,6,6,A
0,1,4,1,8,6,7,7,H
1,0,3,2,6,12,6,10,H
1,0,1,3,7,17,4,10,A
1,0,2,1,14,20,10,10,H
0,1,7,0,21,6,9,4,H
1,0,1,0,7,28,3,9,H
0,1,6,0,28,9,9,7,H
0,1,3,0,34,17,9,8,H
1,0,2,3,15,37,5,9,A
1,0,1,1,18,40,4,12,A
0,1,6,3,41,30,10,10,H
1,0,2,4,15,47,3,13,A
0,1,4,1,32,25,10,5,H
0,1,1,2,36,19,10,4,A
1,0,1,1,43,37,15,7,A
0,1,1,5,38,57,7,11,A
1,0,1,0,32,38,5,7,H
0,1,1,0,39,27,4,6,H
1,0,5,0,52,40,7,4,H
1,0,2,0,34,40,8,4,H
0,1,0,0,40,42,3,11,A
1,0,0,2,47,40,4,4,A
0,1,3,0,42,21,7,0,H
0,1,0,1,45,38,7,8,A
1,0,1,2,59,45,12,7,A
0,1,0,1,47,42,10,4,A
1,0,0,3,0,0,0,0,A
0,1,1,1,3,2,3,3,A
1,0,2,3,7,4,4,4,A
0,1,1,2,7,8,7,9,A
1,0,2,2,9,8,7,7,A
0,1,0,0,14,5,8,4,A
1,0,1,0,2,14,2,8,H
0,1,6,2,14,6,5,7,H
1,0,1,0,19,20,10,8,H
1,0,0,2,10,20,7,5,A
0,1,0,3,22,16,7,3,A
1,0,3,0,16,22,10,6,H
0,1,0,1,22,11,6,8,A
1,0,0,0,15,22,4,3,A
1,0,3,1,29,22,12,4,H
0,1,1,1,23,16,1,7,A
1,0,2,1,14,23,4,1,H
0,1,2,2,25,28,2,8,A
0,1,1,1,27,27,3,8,A
1,0,4,2,21,28,3,3,H
0,1,1,1,30,31,3,5,A
1,0,2,1,42,31,13,3,H
0,1,0,0,32,20,3,6,A
1,0,2,1,34,32,6,3,H
1,0,1,3,30,32,10,3,A
0,1,0,1,36,47,5,10,A
0,1,4,1,36,51,4,8,H
1,0,2,1,26,40,5,7,H
0,1,0,0,41,42,6,4,A
1,0,1,1,38,41,7,7,A
0,1,3,3,42,27,5,1,A
1,0,1,1,41,45,3,6,A
0,1,1,3,46,38,4,9,A
1,0,1,1,41,47,1,4,A
0,1,1,0,48,47,4,8,H
1,0,2,1,41,49,4,6,H
0,1,5,1,50,44,5,2,H
0,1,1,1,0,0,0,0,A
1,0,2,1,1,1,1,1,H
0,1,4,0,2,6,1,6,H
0,1,0,1,6,6,4,7,A
1,0,1,2,4,6,1,4,A
0,1,0,1,8,21,6,13,A
1,0,0,0,6,8,1,6,A
1,0,4,3,17,9,11,7,H
0,1,1,1,12,9,7,3,A
1,0,0,0,11,13,8,5,A
0,1,1,1,13,10,6,3,A
0,1,2,0,17,20,6,13,H
1,0,3,2,24,19,10,9,H
0,1,0,1,21,15,8,6,A
1,0,0,1,26,21,1,7,A
1,0,2,1,21,22,11,9,H
0,1,1,1,23,15,6,0,A
0,1,2,1,24,18,4,2,H
1,0,1,1,51,26,13,7,A
0,1,3,1,27,23,8,4,H
1,0,2,0,17,30,3,8,H
0,1,1,1,30,35,8,7,A
1,0,0,0,49,31,15,8,A
0,1,0,2,31,43,6,13,A
1,0,2,3,26,31,4,5,A
0,1,0,1,34,36,5,10,A
1,0,2,1,35,34,6,5,H
1,0,2,2,35,35,6,4,A
0,1,1,0,37,44,4,7,H
1,0,1,1,38,38,5,7,A
0,1,3,0,39,35,5,6,H
1,0,0,0,29,39,8,5,A
0,1,2,0,42,42,9,7,H
1,0,1,2,42,42,9,9,A
0,1,1,1,46,52,11,9,A
0,1,0,0,0,0,0,0,A
1,0,1,2,0,0,1,1,A
1,0,1,2,1,2,0,4,A
0,1,2,1,2,1,4,0,H
1,0,1,1,5,4,9,7,A
0,1,0,1,7,6,11,8,A
1,0,1,0,4,7,5,10,H
0,1,2,0,7,1,7,0,H
0,1,2,1,9,12,7,8,H
1,0,1,0,11,9,7,7,H
0,1,3,1,11,9,6,4,H
1,0,2,1,10,11,4,6,H
0,1,0,0,14,11,9,9,A
0,1,0,1,15,13,9,12,A
0,1,3,1,39,47,7,10,H
0,1,2,3,42,32,7,4,A
1,0,1,0,64,44,11,6,H
1,0,8,1,35,44,5,6,H
1,0,4,2,0,0,0,0,H
0,1,3,0,2,2,0,3,H
1,0,0,3,2,5,3,3,A
0,1,6,0,9,5,6,6,H
1,0,2,1,7,15,5,9,H
0,1,2,3,16,7,9,11,A
1,0,2,2,7,18,1,6,A
1,0,2,0,8,23,4,7,H
1,0,2,0,8,23,4,4,H
1,0,2,2,17,24,6,4,A
0,1,0,1,29,26,4,10,A
1,0,1,1,13,29,9,4,A
0,1,0,1,30,22,5,7,A
1,0,2,1,12,30,1,5,H
0,1,5,1,31,27,4,6,H
1,0,2,2,20,31,3,4,A
0,1,1,0,39,25,7,12,H
0,1,2,1,41,28,10,4,H
1,0,1,0,20,41,1,10,H
0,1,1,0,42,18,10,2,H
1,0,2,0,25,42,1,10,H
1,0,1,1,42,42,9,9,A
1,0,1,0,32,43,7,7,H
0,1,2,0,43,42,4,8,H
1,0,1,0,48,45,10,7,H
0,1,1,0,45,29,4,5,H
1,0,2,0,45,45,9,4,H
0,1,1,3,46,30,6,6,A
0,1,4,2,47,28,6,3,H
1,0,1,2,47,51,8,6,A
0,1,3,1,53,37,9,7,H
1,0,2,0,65,56,15,9,H
1,0,2,1,42,56,10,9,H
0,1,1,0,57,41,9,4,H
1,0,0,2,0,0,0,0,A
0,1,1,0,2,0,3,0,H
1,0,0,1,1,4,0,9,A
0,1,4,2,4,11,9,6,H
1,0,4,3,11,11,12,12,H
0,1,3,1,14,6,12,1,H
1,0,1,1,10,15,10,10,A
1,0,1,1,8,16,6,8,A
0,1,2,2,18,10,6,5,A
1,0,0,0,8,18,6,7,A
0,1,3,3,18,10,7,6,A
1,0,2,2,27,23,4,5,A
0,1,1,1,24,13,5,5,A
0,1,2,1,26,36,7,15,H
1,0,3,3,20,29,2,7,A
1,0,3,0,35,29,8,6,H
0,1,4,3,33,22,8,4,H
0,1,2,0,35,15,10,2,H
0,1,4,1,38,18,10,3,H
1,0,2,0,28,42,7,12,H

